"","ID","lake","goby","point","pointL","x","y"
"1","MIS14_G37_L2.JPG ","MIS14","G37",1,"A",26.09340251,19.752846522
"2","MIS14_G37_L2.JPG ","MIS14","G37",2,"B",27.093432572,20.641756243
"3","MIS14_G37_L2.JPG ","MIS14","G37",3,"C",29.204577699,22.197335003
"4","MIS14_G37_L2.JPG ","MIS14","G37",4,"D",32.315735219,22.419558016
"5","MIS14_G37_L2.JPG ","MIS14","G37",5,"E",33.982416651,24.975149169
"6","MIS14_G37_L2.JPG ","MIS14","G37",6,"F",46.093721046,26.975191624
"7","MIS14_G37_L2.JPG ","MIS14","G37",7,"G",42.5381175,24.30848013
"8","MIS14_G37_L2.JPG ","MIS14","G37",8,"H",42.649220172,14.3083226289
"9","MIS14_G37_L2.JPG ","MIS14","G37",9,"I",35.982459106,16.1972412091
"10","MIS14_G37_L2.JPG ","MIS14","G37",10,"J",29.982367079,17.3083686424
"11","MIS14_G37_L2.JPG ","MIS14","G37",11,"K",29.537903384,18.641731457
"12","MIS14_G37_L2.JPG ","MIS14","G37",12,"L",25.982299838,19.086177483
"13","MIS14_G38_L2.JPG ","MIS14","G38",1,"A",21.78391127,16.177438542
"14","MIS14_G38_L2.JPG ","MIS14","G38",2,"B",22.78390854,17.377451168
"15","MIS14_G38_L2.JPG ","MIS14","G38",3,"C",25.583948602,18.577463794
"16","MIS14_G38_L2.JPG ","MIS14","G38",4,"D",28.583972216,18.877470926
"17","MIS14_G38_L2.JPG ","MIS14","G38",5,"E",29.383970032,21.677495086
"18","MIS14_G38_L2.JPG ","MIS14","G38",6,"F",43.784105642,24.377511568
"19","MIS14_G38_L2.JPG ","MIS14","G38",7,"G",39.98406831,21.277480276
"20","MIS14_G38_L2.JPG ","MIS14","G38",8,"H",40.484074896,10.777389676
"21","MIS14_G38_L2.JPG ","MIS14","G38",9,"I",32.484001324,11.477395716
"22","MIS14_G38_L2.JPG ","MIS14","G38",10,"J",25.783948056,13.2774130648
"23","MIS14_G38_L2.JPG ","MIS14","G38",11,"K",24.983934338,14.9774290964
"24","MIS14_G38_L2.JPG ","MIS14","G38",12,"L",21.483904138,15.0774288234
"25","MIS14_G40_L2.JPG ","MIS14","G40",1,"A",26.530214984,16.160911728
"26","MIS14_G40_L2.JPG ","MIS14","G40",2,"B",26.984754992,16.888178632
